Date,Week,Month,Year,Commodity,Lock,Tons
06/27/2020,26,6,2020,Corn,Ark Lock 1,1400
06/27/2020,26,6,2020,Other Grain,Ark Lock 1,0
06/27/2020,26,6,2020,Soybeans,Ark Lock 1,11200
06/27/2020,26,6,2020,Wheat,Ark Lock 1,23800
06/27/2020,26,6,2020,Corn,Miss Locks 27,452800
06/27/2020,26,6,2020,Other Grain,Miss Locks 27,9600
06/27/2020,26,6,2020,Soybeans,Miss Locks 27,330940
06/27/2020,26,6,2020,Wheat,Miss Locks 27,3000
06/27/2020,26,6,2020,Corn,Ohio Olmsted,16500
06/27/2020,26,6,2020,Other Grain,Ohio Olmsted,0
06/27/2020,26,6,2020,Soybeans,Ohio Olmsted,16050
06/27/2020,26,6,2020,Wheat,Ohio Olmsted,3550
07/04/2020,27,7,2020,Corn,Ark Lock 1,1400
07/04/2020,27,7,2020,Other Grain,Ark Lock 1,0
07/04/2020,27,7,2020,Soybeans,Ark Lock 1,16800
07/04/2020,27,7,2020,Wheat,Ark Lock 1,74600
07/04/2020,27,7,2020,Corn,Miss Locks 27,321006
07/04/2020,27,7,2020,Other Grain,Miss Locks 27,0
07/04/2020,27,7,2020,Soybeans,Miss Locks 27,150900
07/04/2020,27,7,2020,Wheat,Miss Locks 27,1500
07/04/2020,27,7,2020,Corn,Ohio Olmsted,28550
07/04/2020,27,7,2020,Other Grain,Ohio Olmsted,0
07/04/2020,27,7,2020,Soybeans,Ohio Olmsted,44750
07/04/2020,27,7,2020,Wheat,Ohio Olmsted,19350
07/11/2020,28,7,2020,Corn,Ark Lock 1,0
07/11/2020,28,7,2020,Other Grain,Ark Lock 1,0
07/11/2020,28,7,2020,Soybeans,Ark Lock 1,1400
07/11/2020,28,7,2020,Wheat,Ark Lock 1,36400
07/11/2020,28,7,2020,Corn,Miss Locks 27,355200
07/11/2020,28,7,2020,Other Grain,Miss Locks 27,0
07/11/2020,28,7,2020,Soybeans,Miss Locks 27,300080
07/11/2020,28,7,2020,Wheat,Miss Locks 27,7900
07/11/2020,28,7,2020,Corn,Ohio Olmsted,53550
07/11/2020,28,7,2020,Other Grain,Ohio Olmsted,1750
07/11/2020,28,7,2020,Soybeans,Ohio Olmsted,42350
07/11/2020,28,7,2020,Wheat,Ohio Olmsted,26286
07/18/2020,29,7,2020,Corn,Ark Lock 1,1400
07/18/2020,29,7,2020,Other Grain,Ark Lock 1,0
07/18/2020,29,7,2020,Soybeans,Ark Lock 1,22400
07/18/2020,29,7,2020,Wheat,Ark Lock 1,44800
07/18/2020,29,7,2020,Corn,Miss Locks 27,305700
07/18/2020,29,7,2020,Other Grain,Miss Locks 27,4800
07/18/2020,29,7,2020,Soybeans,Miss Locks 27,273622
07/18/2020,29,7,2020,Wheat,Miss Locks 27,3100
