agency_cd	site_no	datetime	Turbidity, formazin nephelometric units (FNU) (Mean)		Turbidity, formazin nephelometric units (FNU) (Max)		Turbidity, formazin nephelometric units (FNU) (Min)		Gage height, feet (Mean)		 Gage height, feet (Minimum)		Gage height, feet (Mean)		Temperature, water, degrees Celsius (Maximum)		Temperature, water, degrees Celsius (Minimum)		Temperature, water, degrees Celsius (Mean)		Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)		Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)		Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)		Salinity, water, unfiltered, parts per thousand (Maximum)		Salinity, water, unfiltered, parts per thousand (Minimum)		Salinity, water, unfiltered, parts per thousand (Mean)		pH, water, unfiltered, field, standard units (Maximum)		pH, water, unfiltered, field, standard units (Minimum)		pH, water, unfiltered, field, standard units (Median)		Discharge, cubic feet per second (Mean)		Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)		Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Mean)	
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	7374000	2021-12-07	48.1	P	66.4	P	39.6	P	10.21	P	9.55	P	9.95	P	12.1	P	11.8	P	11.9	P	447	P	436	P	442	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	8	P	286000	P	10.2	P	1.3	P
USGS	7374000	2021-12-08	28.9	P	47.3	P	22.3	P	9.67	P	9.07	P	9.48	P	11.9	P	11.6	P	11.8	P	477	P	442	P	462	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	276000	P	10.3	P	1.31	P
USGS	7374000	2021-12-09	25.1	P	33.2	P	18.4	P	9.12	P	8.55	P	8.95	P	11.9	P	11.6	P	11.8	P	467	P	455	P	461	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	264000	P	10.3	P	1.31	P
USGS	7374000	2021-12-10	24.8	P	34.3	P	19.1	P	8.58	P	8.32	P	8.49	P	12.3	P	11.9	P	12.1	P	473	P	462	P	469	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	253000	P	10.2	P	1.27	P
USGS	7374000	2021-12-11	22.1	P	32.8	P	15.5	P	8.38	P	8.14	P	8.27	P	12.6	P	12.2	P	12.4	P	513	P	467	P	474	P	0.3	P	0.2	P	0.2	P	8	P	8	P	8	P	248000	P	10.2	P	1.25	P
USGS	7374000	2021-12-12	17.5	P	22.2	P	11.9	P	8.17	P	8.04	P	8.1	P	12.5	P	12.2	P	12.3	P	528	P	473	P	495	P	0.3	P	0.2	P	0.2	P	8	P	8	P	8	P	244000	P	10.2	P	1.25	P
USGS	7374000	2021-12-13	17.1	P	21.1	P	14.3	P	8.25	P	8.08	P	8.15	P	12.2	P	12	P	12.1	P	492	P	480	P	488	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	245000	P	10.3	P	1.24	P
USGS	7374000	2021-12-14	18.1	P	26	P	14.8	P	8.93	P	8.22	P	8.54	P	12.2	P	12	P	12.1	P	489	P	482	P	486	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	254000	P	10.3	P	1.23	P
USGS	7374000	2021-12-15	20.6	P	24.5	P	14.2	P	9.86	P	8.93	P	9.42	P	12.7	P	12.2	P	12.4	P	491	P	477	P	483	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	275000	P	10.3	P	1.19	P
USGS	7374000	2021-12-16	24.5	P	50.7	P	19.6	P	10.78	P	9.86	P	10.36	P	12.7	P	12.4	P	12.6	P	492	P	475	P	482	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	295000	P	10.3	P	1.17	P
USGS	7374000	2021-12-17	23.7	P	29.6	P	18.6	P	11.62	P	10.78	P	11.28	P	12.5	P	12.3	P	12.4	P	489	P	473	P	483	P	0.2	P	0.2	P	0.2	P	8.1	P	8	P	8	P	315000	P	10.3	P	1.17	P
USGS	7374000	2021-12-18	26.1	P	33.7	P	18.5	P	12.31	P	11.61	P	12.02	P	12.7	P	12.4	P	12.5	P	490	P	452	P	473	P	0.2	P	0.2	P	0.2	P	8.1	P	8	P	8	P	331000	P	10.2	P	1.15	P
USGS	7374000	2021-12-19	26.3	P	33.8	P	22.1	P	12.77	P	12.3	P	12.62	P	12.7	P	12	P	12.3	P	460	P	436	P	446	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	344000	P	10.1	P	1.14	P
